Item_Weight,Item_Fat_Content,Item_Visibility,Item_Type,Item_MRP,Outlet_Size,Outlet_Location_Type,Outlet_Type,Item_Outlet_Sales,Outlet_Years,Item_Type_New
9.3,0,0.016047301,4,249.8092,1,0,1,3735.138,23,1
5.92,2,0.019278216,14,48.2692,1,2,2,443.4228,13,0
17.5,0,0.016760075,10,141.618,1,0,1,2097.27,23,1
19.2,2,0.015273673333333335,6,182.095,2,2,0,732.38,24,1
8.93,1,0.008082153,9,53.8614,0,2,1,994.7052,35,2
10.395,2,0.060928214,0,51.4008,1,2,2,556.6088,13,1
13.65,2,0.012741089,13,57.6588,0,2,1,343.5528,35,1
19.0,0,0.127469857,13,107.7622,1,2,3,4022.7636,37,1
16.2,2,0.016687114,5,96.9726,2,1,1,1076.5986,20,1
19.2,2,0.09444959,5,187.8214,2,1,1,4710.535,15,1
11.8,0,0.052234102857142854,6,45.5402,1,0,1,1516.0266,23,1
18.5,2,0.045463773,4,144.1102,2,0,1,2187.153,25,1
15.1,2,0.1000135,6,145.4786,1,0,1,1589.2646,23,1
17.6,2,0.047257328,13,119.6782,2,0,1,2145.2076,25,1
16.35,0,0.0680243,6,196.4426,0,2,1,1977.426,35,1
9.0,2,0.069088961,2,56.3614,2,0,1,1547.3192,25,1
11.8,1,0.008596051,8,115.3492,1,2,2,1621.8888,13,2
9.0,2,0.069196376,2,54.3614,1,0,1,718.3982,23,1
8.26,0,0.034237682,7,113.2834,1,2,3,2303.668,37,0
13.35,0,0.10249212,4,230.5352,2,1,1,2748.4224,18,1
18.85,2,0.138190277,13,250.8724,0,2,1,3775.086,35,1
8.315,2,0.035399923,0,144.5444,1,2,3,4064.0432,37,1
14.6,1,0.025698134,9,196.5084,2,1,1,1587.2672,18,2
15.5,0,0.057556998,0,107.6938,2,0,0,214.3876,37,1
13.85,2,0.025896485,5,165.021,2,0,1,4078.025,25,1
13.0,1,0.099887103,9,45.906,2,1,1,838.908,15,2
7.645,2,0.066693437,13,42.3112,2,1,1,1065.28,18,1
11.65,0,0.019356132,7,39.1164,0,2,1,308.9312,35,0
5.925,2,0.161466534,4,45.5086,2,2,0,178.4344,24,1
14.5,2,0.072221801,3,43.6454,2,0,0,125.8362,37,1
19.25,0,0.170348551,4,55.7956,2,2,0,163.7868,24,1
18.6,1,0.080829372,8,96.4436,1,2,2,2741.7644,13,2
18.7,0,0.08556526183333334,13,256.6672,1,2,2,3068.0064,13,1
17.85,0,0.14129689414285715,1,93.1436,2,1,1,2174.5028,20,1
17.5,0,0.097904029,14,174.8738,2,0,1,2085.2856,25,0
10.0,1,0.089291137,8,146.7102,1,0,1,3791.0652,23,2
20.2,2,0.059511812,6,128.0678,1,2,3,2797.6916,37,1
8.85,2,0.113123893,14,122.5388,1,2,2,1609.9044,13,0
6.385000000000001,2,0.123111453,13,36.9874,1,2,3,388.1614,37,1
